192.168.2.101 - - [01/Jul/2020:08:10:05 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.101 - - [01/Jul/2020:08:10:07 -0700] "GET /mytest HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:10:08 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:10:43 -0700] "POST /echo HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:10:43 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:15:37 -0700] "POST /echo HTTP/1.1" 200 3781 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:15:38 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:18:05 -0700] "GET /echo HTTP/1.1" 200 3547 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:18:09 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.101 - - [01/Jul/2020:08:18:10 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.101 - - [01/Jul/2020:08:18:10 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.101 - - [01/Jul/2020:08:18:11 -0700] "GET /mytest HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:18:11 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:18:31 -0700] "POST /echo HTTP/1.1" 200 3761 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:18:31 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:19:50 -0700] "POST /mytest HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:19:51 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:21:36 -0700] "POST /echo HTTP/1.1" 200 3761 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.101 - - [01/Jul/2020:08:21:37 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:02 -0700] "GET / HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:02 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:44 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:44 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:45 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:46 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:46 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:47 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:48 -0700] "GET /index.html HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:48 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:54 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:54 -0700] "GET /favicon.ico HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.168.2.102 - - [02/Jul/2020:06:53:56 -0700] "GET /html HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:53:56 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:34 -0700] "GET / HTTP/1.1" 200 3182 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:34 -0700] "GET /zyupload/jquery-1.7.2.js HTTP/1.1" 200 252881 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:34 -0700] "GET /zyupload/skins/zyupload-1.0.0.min.css HTTP/1.1" 200 9058 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:34 -0700] "GET /zyupload/zyupload-1.0.0.min.js HTTP/1.1" 200 34332 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:35 -0700] "GET /zyupload/skins/images/add_img.png HTTP/1.1" 200 3520 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:54:35 -0700] "GET /favicon.ico HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:55:13 -0700] "GET /zyupload/skins/images/bg.png HTTP/1.1" 200 5981 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.2.102 - - [02/Jul/2020:06:55:13 -0700] "GET /zyupload/skins/images/edit_white.png HTTP/1.1" 200 434 "http://192.168.2.230/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
